Ballot	Choice	Comments
1332	W	
1445	W	
1164	W	
450	L	
1841	L	
901	L	
2045	L	
476	L	
597	W	
1199	L	
1773	L	
1867	L	
811	W	
1225	L	
938	W	
993	W	
1234	L	
837	W	
1111	L	
1418	L	
1417	W	
852	W	
1641	L	
1245	W	
1130	L	
778	L	
715	W	
174	W	
465	W	
1669	L	
477	L	
330	W	
900	L	
88	W	
1578	W	
1333	W	
453	W	
2042	W	
541	L	
472	W	
877	L	
1527	W	
1753	W	
843	W	
1444	W	
912	L	
1366	W	
1611	L	
1086	L	
1012	W	
2107	NONE	blank write-in
291	L	
159	L	
1975	W	
289	L	
1643	L	
988	W	
595	W	
1330	W	
82	L	
600	W	
1603	L	
1318	W	
1942	L	
1366	W	repeated
201	W	
690	L	
1453	W	
1771	W	
863	W	
1833	W	
450	L	repeated
1141	W	
959	L	
1160	W	
1547	W	
207	W	
1672	W	
1155	L	
799	W	
136	W	
39	W	
1158	W	
835	W	
1498	W	
1426	L	
460	W	
869	W	
474	W	
1715	W	
1333	W	repeated
1123	W	winFac^56*loseFac^35 = 10.15743 > 9.9, so audit stops
